gene	go_function	is_correct	hyper-geometric p_value	pattern id	recurrence	dataset id list	connectivity	cluster_size	unknown_ratio	avg_degree	network_topo_score	network neighbors	network topology (edge_set)
AARS	protein biosynthesis	1	3.95133597139e-06	20462	5.0	[9, 18, 30, 36, 41]	0.6	5	0.0	2.4	1.50694444444	['AARS', 'CARS', 'GARS', 'MARS', 'SARS']	[['AARS', 'GARS'], ['AARS', 'MARS'], ['CARS', 'MARS'], ['GARS', 'MARS'], ['GARS', 'SARS'], ['MARS', 'SARS']]
AARS	amino acid and derivative metabolism	1	8.94140570198e-08	20493	5.0	[9, 11, 18, 36, 41]	0.7	5	0.0	2.8	1.50694444444	['AARS', 'ASNS', 'CARS', 'GARS', 'MARS']	[['AARS', 'GARS'], ['AARS', 'MARS'], ['ASNS', 'CARS'], ['ASNS', 'GARS'], ['ASNS', 'MARS'], ['CARS', 'GARS'], ['GARS', 'MARS']]
AARS	carboxylic acid metabolism	1	2.05762002823e-08	123304	5.0	[1, 9, 11, 36, 41]	0.733333333333	6	0.0	3.66666666667	1.54583333333	['AARS', 'ASNS', 'CARS', 'GARS', 'MARS', 'MTHFD2']	[['AARS', 'GARS'], ['AARS', 'MARS'], ['ASNS', 'CARS'], ['ASNS', 'GARS'], ['ASNS', 'MARS'], ['ASNS', 'MTHFD2'], ['CARS', 'GARS'], ['CARS', 'MTHFD2'], ['GARS', 'MARS'], ['GARS', 'MTHFD2'], ['MARS', 'MTHFD2']]
ABCF1	immune response	1	0.715729306944	28440	5.0	[55, 56, 60, 61, 63]	1.0	4	0.0	3.0	0.487654320988	['ABCF1', 'FCGRT', 'GRN', 'RER1']	[['ABCF1', 'FCGRT'], ['ABCF1', 'GRN'], ['ABCF1', 'RER1'], ['FCGRT', 'GRN'], ['FCGRT', 'RER1'], ['GRN', 'RER1']]
ACADM	cellular lipid metabolism	1	0.0500226727728	140034	5.0	[13, 15, 18, 44, 45]	0.357142857143	8	0.25	2.5	1.19675925926	['ACADM', 'RCN2', 'SCP2', 'SUCLA2', 'SFRS11', 'PUM1', 'LYPLA1', 'SACM1L']	[['ACADM', 'SCP2'], ['RCN2', 'SCP2'], ['RCN2', 'PUM1'], ['SCP2', 'SUCLA2'], ['SCP2', 'PUM1'], ['SCP2', 'LYPLA1'], ['SCP2', 'SACM1L'], ['SFRS11', 'PUM1'], ['SFRS11', 'SACM1L'], ['PUM1', 'SACM1L']]
ACLY	alcohol metabolism	0	0.00416741618614	14970	5.0	[22, 34, 50, 52, 63]	0.4	6	0.166666666667	2.0	1.21875	['ACLY', 'DDX1', 'MDH1', 'PDHB', 'RAD23B', 'SMAP']	[['ACLY', 'DDX1'], ['ACLY', 'MDH1'], ['DDX1', 'PDHB'], ['DDX1', 'RAD23B'], ['DDX1', 'SMAP'], ['PDHB', 'SMAP']]
ACTB	protein biosynthesis	-1	2.92332799582e-16	95269	5.0	[19, 20, 21, 41, 45]	0.868131868132	14	0.0714285714286	11.2857142857	1.61877979126	['ACTB', 'EEF1A1', 'EEF1G', 'RPL4', 'RPL9', 'RPL11', 'RPL27A', 'RPL41', 'RPLP1', 'RPS2', 'RPS11', 'RPS15', 'RPS17', 'RPL13A']	[['ACTB', 'EEF1A1'], ['ACTB', 'RPL4'], ['ACTB', 'RPL9'], ['ACTB', 'RPL41'], ['ACTB', 'RPLP1'], ['ACTB', 'RPS2'], ['ACTB', 'RPS11'], ['ACTB', 'RPL13A'], ['EEF1A1', 'EEF1G'], ['EEF1A1', 'RPL4'], ['EEF1A1', 'RPL9'], ['EEF1A1', 'RPL11'], ['EEF1A1', 'RPL27A'], ['EEF1A1', 'RPL41'], ['EEF1A1', 'RPLP1'], ['EEF1A1', 'RPS2'], ['EEF1A1', 'RPS11'], ['EEF1A1', 'RPS15'], ['EEF1A1', 'RPS17'], ['EEF1A1', 'RPL13A'], ['EEF1G', 'RPL4'], ['EEF1G', 'RPL9'], ['EEF1G', 'RPL27A'], ['EEF1G', 'RPLP1'], ['EEF1G', 'RPS2'], ['EEF1G', 'RPS11'], ['EEF1G', 'RPS15'], ['EEF1G', 'RPL13A'], ['RPL4', 'RPL9'], ['RPL4', 'RPL11'], ['RPL4', 'RPL27A'], ['RPL4', 'RPL41'], ['RPL4', 'RPS2'], ['RPL4', 'RPS11'], ['RPL4', 'RPS15'], ['RPL4', 'RPS17'], ['RPL4', 'RPL13A'], ['RPL9', 'RPL11'], ['RPL9', 'RPL27A'], ['RPL9', 'RPL41'], ['RPL9', 'RPLP1'], ['RPL9', 'RPS2'], ['RPL9', 'RPS11'], ['RPL9', 'RPS15'], ['RPL9', 'RPL13A'], ['RPL11', 'RPL27A'], ['RPL11', 'RPL41'], ['RPL11', 'RPLP1'], ['RPL11', 'RPS2'], ['RPL11', 'RPS11'], ['RPL11', 'RPS15'], ['RPL11', 'RPS17'], ['RPL11', 'RPL13A'], ['RPL27A', 'RPL41'], ['RPL27A', 'RPLP1'], ['RPL27A', 'RPS2'], ['RPL27A', 'RPS11'], ['RPL27A', 'RPS15'], ['RPL27A', 'RPS17'], ['RPL27A', 'RPL13A'], ['RPL41', 'RPLP1'], ['RPL41', 'RPS2'], ['RPL41', 'RPS11'], ['RPL41', 'RPS15'], ['RPL41', 'RPS17'], ['RPL41', 'RPL13A'], ['RPLP1', 'RPS2'], ['RPLP1', 'RPS11'], ['RPLP1', 'RPS15'], ['RPLP1', 'RPL13A'], ['RPS2', 'RPS11'], ['RPS2', 'RPS15'], ['RPS2', 'RPS17'], ['RPS2', 'RPL13A'], ['RPS11', 'RPS15'], ['RPS11', 'RPS17'], ['RPS11', 'RPL13A'], ['RPS15', 'RPL13A'], ['RPS17', 'RPL13A']]
ACTL6A	mitotic cell cycle	0	1.98238655065e-18	61337	6.0	[3, 9, 11, 57, 59, 60]	0.56043956044	14	0.0	7.28571428571	1.59118967452	['ACTL6A', 'BUB1', 'BUB1B', 'CCNA2', 'CDC20', 'CDK4', 'CDKN3', 'CKS2', 'ILF2', 'KPNA2', 'MAD2L1', 'PLK1', 'UBE2C', 'TPX2']	[['ACTL6A', 'CKS2'], ['ACTL6A', 'KPNA2'], ['BUB1', 'CCNA2'], ['BUB1', 'CDC20'], ['BUB1', 'CKS2'], ['BUB1', 'KPNA2'], ['BUB1', 'MAD2L1'], ['BUB1', 'PLK1'], ['BUB1', 'UBE2C'], ['BUB1', 'TPX2'], ['BUB1B', 'CCNA2'], ['BUB1B', 'CKS2'], ['BUB1B', 'KPNA2'], ['BUB1B', 'UBE2C'], ['BUB1B', 'TPX2'], ['CCNA2', 'CDC20'], ['CCNA2', 'CDKN3'], ['CCNA2', 'CKS2'], ['CCNA2', 'ILF2'], ['CCNA2', 'KPNA2'], ['CCNA2', 'MAD2L1'], ['CCNA2', 'PLK1'], ['CCNA2', 'UBE2C'], ['CCNA2', 'TPX2'], ['CDC20', 'CDKN3'], ['CDC20', 'CKS2'], ['CDC20', 'KPNA2'], ['CDC20', 'MAD2L1'], ['CDC20', 'PLK1'], ['CDC20', 'UBE2C'], ['CDK4', 'TPX2'], ['CDKN3', 'CKS2'], ['CDKN3', 'KPNA2'], ['CDKN3', 'MAD2L1'], ['CDKN3', 'PLK1'], ['CDKN3', 'UBE2C'], ['CDKN3', 'TPX2'], ['CKS2', 'KPNA2'], ['CKS2', 'MAD2L1'], ['CKS2', 'UBE2C'], ['ILF2', 'KPNA2'], ['ILF2', 'UBE2C'], ['ILF2', 'TPX2'], ['KPNA2', 'MAD2L1'], ['KPNA2', 'PLK1'], ['KPNA2', 'UBE2C'], ['KPNA2', 'TPX2'], ['MAD2L1', 'UBE2C'], ['PLK1', 'UBE2C'], ['PLK1', 'TPX2'], ['UBE2C', 'TPX2']]
ACTL6A	chromosome organization and biogenesis (sensu Eukaryota)	1	0.000828133847887	14675	5.0	[15, 18, 22, 25, 44]	1.0	4	0.0	3.0	0.975308641975	['ACTL6A', 'DPM1', 'TEBP', 'CBX3']	[['ACTL6A', 'DPM1'], ['ACTL6A', 'TEBP'], ['ACTL6A', 'CBX3'], ['DPM1', 'TEBP'], ['DPM1', 'CBX3'], ['TEBP', 'CBX3']]
ADAM10	protein amino acid phosphorylation	1	0.000406160390272	74236	5.0	[2, 20, 25, 34, 43]	0.8	5	0.0	3.2	1.09809027778	['ADAM10', 'PRKAR1A', 'MAPK1', 'MAP3K7', 'MAP3K7IP2']	[['ADAM10', 'PRKAR1A'], ['ADAM10', 'MAPK1'], ['ADAM10', 'MAP3K7'], ['ADAM10', 'MAP3K7IP2'], ['PRKAR1A', 'MAPK1'], ['PRKAR1A', 'MAP3K7'], ['PRKAR1A', 'MAP3K7IP2'], ['MAP3K7', 'MAP3K7IP2']]
