1	GDS1012	18	Idiopathic and scleroderma-associated pulmonary fibrosis derived fibroblasts response to TGFbeta	Analysis of adult lung fibroblasts treated with 4 ng/ml TGFbeta cytokine for 4 hours. Fibroblasts obtained from patients with idiopathic or scleroderma-associated pulmonary fibrosis. Results provide insight into the role of TGFbeta in pulmonary fibrosis.  
2	GDS1041	18	CREB, CREMalpha, CREMtau2alpha, ATF2, and ATF2-small overexpression effect on myometrial cells	Expression profiling of cultured myometrial cells overexpressing CREB, CREMalpha, CREMtau2alpha, ATF2, or ATF2-small transcription factors. Myometrial cells obtained from biopsies of pre-menopausal, non-cancerous, non-pregnant uteri. Results identify potential downstream target genes.
3	GDS1062	27	Squamous cell carcinoma of the oral cavity with lymph node metastasis	Expression profiling of 18 primary squamous cell carcinomas of the oral cavity with or without lymph node metastasis. Expression in lymph node metastasis also examined. Results used to identify gene expression signature in primary tumors that indicates the presence of lymph node metastasis.   
4	GDS1063	21	Primary effusion lymphomas and associated viral infections	Analysis of Kaposi"s sarcoma-associated herpesvirus (KSHV) positive mononuclear cells from 3 patients with primary effusion lymphoma (PEL), 9 KSHV positive PEL cell lines, and 3 KSHV negative cell lines from lymphomatous effusions.  Effect of concomittant Epstein-Barr virus infection also examined.
5	GDS1204	18	Lung cancer cell line response to motexafin gadolinium: time course	Expression profiling of lung cancer cell line A549 following treatment with 50 uM of the metal cation-containing chemotherapeutic drug motexafin gadolinium (MGd). Cells examined at 4, 12, and 24 hours following treatment. Results provide insight into the mechanism of action of MGd.  
6	GDS1230	18	Hematopoietic stem cell and progenitor cell comparison (HG-U133A)	Comparison of CD34+CD33-CD38-Rho(lo)c-kit+ cells, enriched for hematopoietic stem/progenitor cells (HSC), to CD34+CD33-CD38-Rho(hi) cells, enriched for committed hematopoietic progenitor cells (HPC). Cells obtained from umbilical cord blood and bone marrow. Provides insight into control of HSC fate.
7	GDS1250	8	Atypical ductal hyperplasia and breast cancer	Comparison of atypical ductal hyperplasia (ADH) tissues from patients with and without a history of breast cancer. Incidence of invasive breast cancer is high in ADH patients. Results identify putative markers of invasive breast cancer.
8	GDS1286	10	Esophageal cell response to low pH: time course	Analysis of esophageal cell line SKGT4 following exposure to low pH 6.5. Cells examined at various time points up to 2 hours following exposure. Results provide insight into role of gastric acid in pathogenesis of gastro-esophageal reflux disease (GORD) and esophagus adenocarcinoma.
9	GDS1289	16	TNFalpha effect on epidermal keratinocytes in the presence of NF-kappa B inhibitor: time course	Analysis of epidermal keratinocytes treated with TNFalpha in the presence of 10 uM parthenolide, an NF-kappa B inhibitor. Cells examined at various time points up to 48 hours following TNFalpha treatment. Results identify NF-kappa B-dependent subset of TNFalpha-regulated genes.
10	GDS1304	11	Cigarette smoking effect on small airway epithelium	Analysis of phenotypically normal 10th to 12th order small airway bronchial epithelia from cigarette smokers. Cigarette smoking is the most common cause of chronic obstructive pulmonary disease (COPD). Results provide insight into the early pathogenesis of COPD.
