		T98G G0				T98G Contact Inhibtion				U2OS-p16			
		E2F4		p130		E2F4		p130		E2F4		p130	
GENE 	Locuslink	P value	binding ratio	P value	binding ratio	P value	binding ratio	P value	binding ratio	P value	binding ratio	P value	binding ratio
ABCB6	10058	0.0000592220910693442	3.63705537547212	0.0000479444762151449	6.17626696547517	0.00000115151888924192	2.94744866277629	0.00000602294696139261	3.64650392179403	0.531313342263014	0.984552110058183	0.32929326293953	1.11689368756837
ACTA2	59	0.00082348266574761	2.54538754614693	0.00126171994982804	3.21641805964304	0.00213175088277939	2.02325435909428	0.000427881692062981	2.38778981706864	0.00102273057233848	2.69831143515354	0.00305216642678141	3.68137296050969
Spc25	57405	0.0344801483778883	1.98425558243653	0.00525978321740894	3.19560289650736	0.120769024168108	1.29612364104727	0.00373378033484295	2.33048603266827	0.0020903305340938	2.69305308158176	0.00360097501296186	4.93800344255165
ADSS	159	0.00311600712746507	2.01335698686822	0.00174056251213639	3.15202591092567	0.000713550265740381	2.59302349797242	0.00399731919711876	2.05807987946681	0.00864409148883794	2.01290942874427	0.0184611292924322	2.33795754858107
AF15Q14	57082	0.0000136783123506623	4.58842381493431	0.0000971336584693061	5.18238196293636	0.000000930783788932743	3.57553140271222	0.00000257967928851688	4.02003487548453	0.00000873029811876425	6.20003632269079	0.00052045813850693	8.81238160536713
AGA	175	0.0453966096673129	2.31751529817992	0.00294762222335132	3.89269435936631	0.007379434690994	1.74620244891104	0.00202765704251995	2.06181870317675	0.00525611122168179	2.26505895107399	0.00309533558438102	3.60434610710399
AK2	204	0.00251923773917395	2.13110440352715	0.00318077539429662	3.39154348573167	0.000790636586595062	2.80016679392304	0.00219520970272069	2.0329428737316	0.000421953571333678	3.23777268615325	0.00866502455497758	3.40777173779474
AKR1B1	231	0.0190906659634532	2.18960586000722	0.00423087496056618	2.72071437813395	0.00921460762912663	1.7667672983002	0.00396021642832967	1.99667773927106	0.00760300387163199	2.1020075821512	0.00232016084656578	4.02073158352946
WDHD1	11169	0.01084551508458	1.96900125392533	0.000497164370350744	3.87033110823271	0.0153181207698107	1.67710361086677	0.00264215067799656	2.50225731918347	0.00120824256405994	2.93205282112845	0.00155059166842753	4.60482428735576
NUSAP1	51203	0.000000160395148718351	9.17920793580398	0.0000028393713000785	7.65182928880094	0.00000194460547142672	4.52932655352542	0.0000132486803285925	4.05840329289625	0.000001801401231738	8.43302544751392	0.000422898863151666	12.5085370476575
ANLN	54443	0.00231131167181231	2.02259063854859	0.0443255487146357	1.71464301093332	0.111894956169882	1.25058718148797	0.0174369689654981	1.64569008197225	0.0120745804769284	1.82975780736943	0.00904063138066347	3.41687530681145
ANP32E	81611	0.0000306237278742127	3.60795256884719	0.0000522011872976513	3.23174684767619	0.023971361670425	1.54878038648222	0.00588121106811623	1.93117009025685	0.0000408587411635519	5.06548591048026	0.000781489754700382	6.57734040455674
AP4B1	10717	0.0000121470616513131	3.58127720194955	0.0000108042119011387	6.24781727787296	0.00000241345034834861	3.88295943637102	0.00000605846321710679	4.01711609183351	0.0000105553844710338	5.72310547360768	0.000693405616009057	7.81202209440472
APBB3	10307	0.125216948857709	1.41842644191905	0.0171684952143256	2.08248072679452	0.0660321567702697	1.44238549068056	0.00418412547816671	2.02367287164457	0.141019752532796	1.31931357312537	0.0502656485297686	2.05900965693981
APEX1	328	0.18371130077417	1.31585498242576	0.0516643960974603	1.87395670184281	0.0743932827438001	1.3390827198518	0.006265761083039	1.84894144205197	0.00923262448329609	2.11897546897547	0.00190277866818239	4.41743324258788
ARHGAP11A	9824	0.000000814888000189029	6.43019856267844	0.000702941006146096	5.1018400956734	0.000000525977892018581	3.51736701270334	0.000500799132714058	3.39529002534335	0.00000472936209483521	6.9008608477716	0.000620135114891396	8.45602852749434
ASF1B	55723	0.000319009281462224	2.60104200514629	0.0000177772834093481	6.61693405267661	0.000000152494151195448	4.78285840796587	0.00000245849463365033	4.43686352714501	0.0000113706589838225	5.62507035342675	0.000658995427276987	7.38469460976143
ASH2L	9070	0.00205454866217836	2.40832160163367	0.0012186479393248	2.95828435852394	0.00139990104828669	2.02702485917249	0.00270241878174982	3.41140423363901	0.000172303093923132	3.50543334216804	0.00308626417767832	4.04702145380865
ATF2	1386	0.00443030755236007	2.09133173416819	0.0042347390035995	2.66381950222743	0.0023572873281843	1.72811548675507	0.00267663238783711	2.07437106745937	0.0676438276874527	1.52286302348049	0.0424431505501094	1.90699831018834
ATM	472	0.00320068052216371	2.20482463667181	0.00132127061828902	3.3117953077609	0.00345724696274441	2.20049124757174	0.00120692577450077	2.15851632443199	0.000516263130363126	2.89687686264372	0.00221751419173016	4.28854586974425
BAZ1B	9031	0.00359682281194429	2.07579923993229	0.00293387831270486	2.53778063473253	0.00127107275916982	2.06316253685474	0.00167034070273897	2.2104617383895	0.0110125123834921	1.96858749561043	0.00773012894416264	2.81463900840074
BCAS2	10286	0.0675889497203441	1.4388876116639	0.0222179412654239	1.65867440369434	0.0581684461267712	1.58546688736385	0.0433101748815403	1.49350765347193	0.0402034916573488	1.64652479785153	0.00454768098589869	3.36317597358514
BIRC5	332	0.00321958810831946	1.9702156332296	0.000276703529608513	2.46881030868499	0.0288385021723437	1.6770519282119	0.00403966484616702	2.00750231308071	0.00233874565465675	2.31994785533457	0.00123000340304702	5.20217547705871
BLM	641	0.000000072051014377017	7.10685361178967	0.000000943625384386415	9.3091724618345	0.0000011063438062342	3.78615579384606	0.000387970656377634	3.15105939471993	0.00000157240544007564	8.94050294275013	0.00040439037993939	14.2607515223619
BMI1	648	0.00000631687235219669	4.49359223244004	0.0000172004691525451	3.25634631115941	0.00110092703790932	2.24620663289029	0.0095485885340667	2.29047959426203	0.0000397699877753288	4.41075101546971	0.000984326879308828	5.73084942280593
BRCA1	672	0.00000951202814258867	3.81160202086327	0.0000395356541565972	3.63786397881881	0.0000348466497378519	3.49481245697963	0.0000838119432295947	3.29363574705884	0.0000655328609533434	3.81312923139607	0.00079402463743844	6.41078051039153
BRIP1	83990	0.000000151954399840726	9.669826587016	0.000000928544188316671	7.34518839665792	0.0000000725580884264332	3.91218298961827	0.0000246166886724852	3.77133778041258	0.000000629980047683887	13.9055115214673	0.000349470692639464	16.039609338111
