RefSeq ID	FOXA2	HNF1A	HNF4A	HNF6	CREB1	USF1
NM_003140	0	0	0	0	0	0
NM_001008	0	0	0	0	0	0
NM_003411	0	0	0	1	0	0
NM_139214	0	0	0	0	0	1
NM_032971	0	0	0	0	0	0
NM_022573	0	0	0	0	1	0
NM_001143	0	0	0	0	0	1
NM_134259	1	0	1	1	0	0
NM_002760	0	0	0	0	0	0
NM_003308	0	0	0	0	0	1
NM_004654	0	0	0	0	0	0
NM_004660	0	0	0	0	0	0
NM_007125	0	0	0	0	0	0
NM_004202	0	0	0	0	0	0
NM_004679	0	0	0	0	0	0
NM_001001722	0	0	0	0	0	0
NM_004825	0	0	0	0	0	0
NM_153716	1	0	0	0	0	0
NM_001001877	0	0	0	0	0	0
NM_013230	0	0	0	0	0	0
NM_032576	0	0	0	0	0	0
NM_004653	1	0	1	1	0	0
NM_004681	1	0	0	0	0	0
NM_001007526	1	0	0	0	0	0
NM_001006120	0	0	0	0	0	0
NM_004676	0	0	0	0	0	0
NM_001006117	0	0	0	0	0	0
NM_152585	0	0	0	0	0	1
NM_001005375	0	0	0	0	0	0
NM_001005785	0	0	0	0	0	0
NM_001003895	0	0	0	0	0	1
NM_170723	1	0	0	0	0	0
NM_012227	0	0	0	0	0	0
NM_199326	0	0	0	0	0	0
NM_013239	0	0	0	0	0	0
NM_000451	0	0	0	0	0	0
NM_172247	0	0	0	0	0	0
NM_172249	0	0	0	0	0	0
NM_002183	0	0	0	0	0	0
NM_001636	0	0	0	0	0	0
NM_004192	0	0	0	0	0	0
NM_178129	0	0	0	0	0	0
NM_005088	0	0	0	0	0	0
NM_004729	0	0	0	0	0	0
NM_002414	0	0	0	0	0	0
NM_175569	0	0	0	0	0	0
NM_003918	0	0	0	0	0	0
NM_001669	0	0	0	0	0	0
NM_000047	0	1	1	0	0	0
NM_004042	0	0	0	0	0	0
NM_015419	0	0	0	0	0	0
NM_005044	0	0	0	0	0	1
NM_020742	0	0	0	0	0	0
NM_016379	0	0	0	0	0	1
NM_012080	0	0	0	0	0	0
NM_000351	0	0	0	0	0	0
NM_013452	0	0	0	0	0	0
NM_004650	0	0	1	1	0	0
NM_016378	0	0	0	0	0	0
NM_001001888	0	0	0	0	0	0
NM_000216	0	0	0	0	0	0
NM_174951	0	0	0	0	0	1
NM_205849	0	0	0	0	0	1
NM_005647	0	1	1	0	0	0
NM_000273	0	0	0	0	0	0
NM_001649	1	0	0	0	0	0
NM_015691	0	0	0	0	0	0
NM_001830	1	0	1	0	0	0
NM_033291	1	0	1	0	0	0
NM_033290	0	0	0	0	0	0
NM_005333	0	0	0	0	0	0
NM_182681	0	0	0	0	0	0
NM_006125	0	0	0	0	0	0
NM_078628	1	0	0	0	0	0
NM_014728	1	0	0	0	0	0
NM_002765	0	0	0	0	0	0
NM_016562	0	0	0	0	0	0
NM_016610	1	0	0	0	0	0
NM_021109	0	0	0	0	0	0
NM_174901	0	0	0	0	0	0
NM_015507	0	0	0	0	0	0
NM_004251	1	0	0	1	0	0
NM_003611	0	0	0	0	0	0
NM_001001996	0	0	0	0	0	0
NM_001001994	0	0	0	0	0	0
NM_017856	0	0	0	0	0	0
NM_002063	0	0	0	0	0	0
NM_152581	0	0	0	0	0	0
NM_152633	0	0	0	0	0	0
NM_024087	0	1	1	0	0	0
NM_001012428	0	0	0	0	0	0
NM_020473	0	0	0	0	0	0
NM_004469	0	0	1	0	0	0
NM_003662	0	0	1	0	0	1
NM_001721	1	0	0	0	0	1
NM_021804	0	0	0	0	0	0
NM_020665	0	0	0	0	0	0
NM_007220	1	0	0	0	0	1
NM_005089	0	0	0	0	0	0
NM_003916	0	0	0	0	0	0
NM_005314	1	0	0	0	0	1
NM_004057	0	0	0	0	0	0
NM_032796	0	0	1	0	1	0
NM_018360	0	0	1	0	0	0
NM_002893	0	0	0	0	0	0
NM_004726	0	0	0	0	0	0
NM_198270	1	0	0	0	0	0
NM_006746	0	0	1	0	1	0
NM_153346	0	0	0	0	0	0
NM_006089	0	0	0	0	0	0
NM_003159	0	0	0	0	0	0
NM_000330	0	0	0	0	0	0
NM_152226	0	0	0	0	0	0
NM_000292	0	0	0	0	0	0
NM_005756	0	0	0	0	0	0
NM_000284	0	0	0	0	1	0
NM_031892	0	0	0	0	0	0
NM_198279	0	0	0	0	0	0
NM_152780	0	0	0	0	0	0
NM_001412	1	0	0	0	1	0
NM_004586	0	0	0	0	0	0
NM_014927	0	0	0	0	0	0
NM_153270	0	0	0	0	0	1
NM_014332	0	0	0	0	0	0
NM_015884	1	0	0	0	0	0
NM_206923	0	0	0	0	0	0
NM_004595	0	0	0	0	0	0
NM_000444	0	0	0	0	0	0
NM_152577	0	0	0	0	0	0
NM_182699	1	0	0	0	0	1
NM_173495	0	0	0	0	0	1
NM_006406	1	0	0	0	0	0
NM_012332	0	0	0	0	0	0
NM_002970	0	1	1	0	0	0
NM_152761	0	0	0	0	0	1
NM_024122	0	0	0	0	0	1
NM_030624	0	0	0	1	0	0
NM_001415	0	0	1	0	0	0
NM_003410	0	0	0	0	0	0
NM_005391	0	0	0	0	0	0
NM_004845	0	0	0	0	0	0
NM_016937	0	0	0	0	0	0
NM_139058	1	0	0	0	0	0
NM_173699	0	0	0	0	0	1
NM_173523	1	0	0	0	0	0
NM_182506	1	0	0	0	0	0
NM_014271	0	0	0	0	0	0
NM_002364	0	0	0	0	0	0
NM_002365	0	0	0	0	0	0
NM_002367	0	0	0	0	0	0
NM_000475	0	0	0	0	0	0
NM_025159	0	0	0	0	0	0
NM_203391	0	0	0	0	1	0
NM_031894	0	0	0	0	0	0
NM_004023	0	0	0	0	0	0
NM_004007	0	0	0	0	0	1
NM_000109	0	0	0	0	0	0
NM_203408	0	0	0	0	0	0
NM_031442	0	0	0	0	0	1
NM_152631	0	0	0	0	0	0
NM_152632	0	0	0	0	0	0
NM_001013736	0	0	0	0	0	0
NM_000950	0	0	0	0	0	0
NM_198511	0	0	0	0	0	0
NM_021083	0	0	0	0	0	0
NM_000397	0	0	0	0	0	0
NM_006520	0	0	0	0	0	0
NM_006307	0	0	0	0	0	0
NM_000328	0	0	0	0	0	0
NM_000531	0	0	1	0	0	0
NM_004615	0	0	0	0	0	1
NM_021242	0	0	1	0	0	0
NM_017745	0	0	0	0	0	0
NM_005765	0	0	0	0	0	0
NM_144970	0	0	0	0	0	0
NM_004229	0	0	1	0	1	0
NM_021906	0	0	0	0	0	0
NM_001356	0	0	0	0	0	0
NM_022567	0	0	1	0	0	1
NM_005300	0	0	0	0	0	0
NM_080817	0	0	0	0	0	0
NM_003688	0	0	0	0	0	0
NM_000240	0	1	1	0	0	1
NM_000898	0	0	1	0	0	0
NM_000266	1	0	0	0	0	0
NM_025184	0	0	0	0	0	0
NM_173794	0	0	1	0	0	0
NM_022076	0	0	0	0	0	0
NM_021140	1	0	0	0	0	0
NM_024689	0	0	0	0	0	0
NM_017776	0	0	0	0	0	0
NM_019886	0	0	0	0	0	0
NM_032591	1	0	1	0	0	0
NM_006915	0	0	0	1	0	0
NM_014735	0	0	0	0	0	0
NM_004683	0	0	1	0	0	0
NM_005676	0	0	0	0	0	0
