	TAL1	E2A	HEB
MUC16	1	1	0
PTPRU	1	1	1
IL10RA	1	0	1
EPHB1	0	0	0
IFNAR1	1	1	0
MUC1	1	0	0
CALCYON	1	0	0
PTPRCAP	1	1	1
OR2W1	0	0	0
TMEFF1	1	1	0
			
TRAF3	0	0	0
TNFAIP1	1	0	1
MLLT4	1	1	0
MADHIP	1	0	0
CGR11	0	1	0
ARAF1	1	1	1
RQCD1	0	1	1
TTC3	0	0	0
			
NR4A3	1	1	1
DED	1	1	1
NFYA	1	0	0
ZNF74	1	0	0
GS2NA	0	1	1
LANP-L	0	0	0
TCF7	1	0	0
			
G22P1	1	1	1
PMS2	1	1	1
			
AZGP1	1	1	1
MSLN	1	0	0
GDF5	1	0	0
LOC56920	0	1	0
			
CHRNA5	1	1	1
ACCN2	0	0	0
CACNG4	1	0	1
KCNJ9	1	0	0
SLC4A11	1	0	0
OKB1	1	1	1
			
ABCC12	0	1	0
			
PRSS8	1	0	0
SERPINB2	1	0	0
CUL4A	1	0	0
			
RAB33A	1	1	1
MAP2	1	0	0
RPS3A	1	1	1
LRBA	1	1	1
RAB40B	0	0	0
DOCK1	1	1	0
AP4B1	1	1	1
			
NCF1	1	0	0
DDC	0	0	0
HADHA	1	1	1
BHMT2	1	0	0
MVD	1	0	1
MGAT3	0	0	1
LOC51171	1	1	1
SULT1A3	1	1	1
ARSA	1	1	1
PTE1	1	0	1
			
PLA2G2A	1	0	0
C3	1	0	0
			
LOC51184	1	1	1
FRG1	1	0	0
FLJ12150	1	0	0
FLJ22529	1	1	1
FLJ14981	1	0	0
FLJ10661	1	1	1
MGC14136	1	1	1
FLJ10637	1	1	1
PRO2859	1	0	0
LOC51035	1	0	0
FLJ23231	1	1	1
