             Binding p-values														Binding ratios	
EntrezGene Symbol	p65 (-LPS)	c-Rel (-LPS)	RelB (-LPS)	p50 (-LPS)	p52 (-LPS)		p65 (+LPS)	c+Rel (+LPS)	RelB (+LPS)	p50 (+LPS)	p52 (+LPS)			RNA pol II (-LPS)	RNA pol II (+LPS)
13CDNA73	0.78	0.52	0.59	0.4	0.67		0.2	0.09	0.25	0.16	0.44			1.6	2.73
1D12A	0.07	0.1	0.18	0.14	0.27		0.16	0.03	0.1	0.5	0.04			1	1.07
20D7-FC4	0.06	0.23	0.5	0.25	0.52		0.28	0.15	0.69	0.49	0.56			1.6	1.76
384D8-2	0.63	0.81	 	0.55	0.74		0.79	0.76		0.61	 				
6H9A	0.25	0.16	0.07	0.51	0.15		0.42	0.2	0.64	0.59	0.15			0.95	1.05
76P	0.61	0.37	0.13	0.09	0.11		0.42	0.14	0.67	0.21	0.14			3.24	3.68
8D6A	0.24	0.2	0.24	0.52	0.24		0.28	0.14	0.32	0.58	0.22			1.05	1.03
A	0.89	 	 	0.84	 		0.86	0.85		0.24	 				
A1BG	0.47	0.43	0.18	0.58	0.37		0.59	0.62	0.74	0.87	0.57			1.43	1.23
A4GALT	0.44	0.16	0.67	0.67	0.12		0.45	0.61	0.14	0.59	0.23			0.74	0.83
A4GNT	0.62	 	0.75	0.7	 		0.83	0.81	0.81	0.65	0.93			0.54	0.65
AADAC	0.57	0.39	0.71	0.79	0.42		0.93	0.62	0.42	0.84	0.82			1.08	1.14
AAMP	0.88	0.3	0.69	0.59	0.97		0.46	0.78	0.07	0.03	0.56			3.31	2.89
AANAT	0.07	0.07	0.6	0.12	0.24		0.05	0.05	0.59	0.26	0.72			1.59	1.54
AARS	0.46	0.44	0.24	0.52	0.69		0.3	0.24	0.57	0.58	0.47			0.99	0.99
AATF	0.57	 	0.58	0.24	 		0.18	0.16	0.23	0.02	0.25			4.5	3.57
ABCA10	0.82	0.58	0.37	0.65	1		0.76	0.4	0.6	0.87	0.58			0.94	1.06
ABCA12	0.71	0.71	0.92	0.89	0.5		0.82	0.77	0.86	0.88	0.91			0.56	0.6
ABCA2	0.09	0.12	0.37	0.19	0.17		0.13	0.43	0.3	0.5	0.5			0.99	0.98
ABCA4	0.54	0.42	0.73	0.53	0.33		0.78	0.47	0.62	0.64	0.35			0.66	0.71
ABCA5	0.07	0.07	0.25	0.19	0.35		0.24	0.05	0.25	0.51	0.17			0.97	1.04
ABCA6	0.96	1	0.87	0.96	0.9		0.98	0.94	0.82	0.95	0.9			0.73	0.64
ABCA7	0.27	0.5	0.73	0.88	0.36		0.59	0.8	0.57	0.61	0.45			1.15	0.85
