 mcl_id | recurrence | connectivity | unknown_ratio | size |       go_no_list        |                                                 p_value_list                                                  |                                                                                                                                                                                                                                                                                       recurrence_array                                                                                                                                                                                                                                                                                       
--------+------------+--------------+---------------+------+-------------------------+---------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     33 |          4 |          0.4 |           0.2 |    5 | {89,89}                 | {6.41407163391e-08,1.17593567084e-05}                                                                         | {0,0,0,1,0.75,0,0.75,0,0,0,0,1,0.25,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.25,0,1,0,1,0.5,0,0.25,0}
   1789 |          4 |          0.4 |           0.2 |    5 | {689,689}               | {0.0240756160491,0.00128123281239}                                                                            | {0,0,0,0,1,0.25,0.5,0,0,0.25,0,0,0,0.25,1,0.5,0,0,0.75,1,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0.5,0.75,0,1,0,0.75,0}
   3394 |          5 |     0.096866 |      0.037037 |   27 | {273,14,273}            | {7.55658609005e-13,7.17877167583e-12,1.68406565759e-11}                                                       | {0.0588235294117647,0,0.0882352941176471,0.764705882352941,0.411764705882353,0.0882352941176471,0.0294117647058824,0.117647058823529,1,1,0,0,0,1,0,0.323529411764706,0,0,1,0.147058823529412,0.0588235294117647,0.382352941176471,0,0,0.0882352941176471,0,0.264705882352941,0,0,0,0,0.0294117647058824,0,0.823529411764706,0.0588235294117647,0.0294117647058824,0.147058823529412,0,0.294117647058824,0}
   4169 |          4 |          0.4 |           0.2 |    5 | {1993,1993}             | {0.000323120152045,0.00978837809948}                                                                          | {0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0}
   6152 |          6 |          0.2 |           0.2 |   10 | {2199,285,70,71,241,74} | {0.000166247521819,0.000481623919976,0.000195736068623,0.000195736068623,8.87416348996e-05,0.000195736068623} | {0,0,0.111111111111111,1,0.222222222222222,0,0,0.111111111111111,1,0.222222222222222,0,0,0,0.333333333333333,0,1,0,0,1,0.333333333333333,0,1,0.111111111111111,0,0,0,1,0,0,0,0,0.222222222222222,0,0.777777777777778,0.111111111111111,0,0,0,0,0}
   6935 |          7 |     0.333333 |      0.166667 |    6 | {664}                   | {1.22820441714e-05}                                                                                           | {0,0,0,0.4,1,0,0.4,0,1,0,1,0.2,0.4,0.2,0,0,0,0,0,0,0,1,0,1,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0,1,1,0.2}
   7425 |          5 |     0.285714 |      0.142857 |    7 | {664,664}               | {4.06503982765e-05,0.000865553996073}                                                                         | {0.166666666666667,0,0,0.5,0.166666666666667,0.166666666666667,1,0,0,0,0.333333333333333,0,0.166666666666667,0,0,0,0,0,0,0,0,1,1,1,0.166666666666667,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0,0.5,0,0.333333333333333,0.166666666666667,1}
   7904 |          5 |     0.126667 |          0.08 |   25 | {664,664}               | {3.08718962294e-14,7.3424947354e-13}                                                                          | {0,0,0.0526315789473684,1,0.605263157894737,0.105263157894737,1,0,0.105263157894737,0,0.368421052631579,0,0.157894736842105,0.210526315789474,0,0,0.157894736842105,0.0263157894736842,0,0,0.105263157894737,1,0.0526315789473684,0.5,1,0,0.0263157894736842,0.0263157894736842,0.0263157894736842,0,0,0.236842105263158,0.0263157894736842,0,0.105263157894737,0.763157894736842,0.0263157894736842,0.552631578947368,1,0.236842105263158}
   8275 |          5 |     0.333333 |      0.076923 |   13 | {664,664}               | {7.91423896372e-07,3.47204946272e-08}                                                                         | {0.0384615384615385,0,0,0.384615384615385,0.384615384615385,0,1,0,0.384615384615385,0,1,0.0384615384615385,0.153846153846154,0.115384615384615,0,0,0.0384615384615385,0,0,0,0.0384615384615385,0.461538461538462,0.115384615384615,1,0.576923076923077,0,0.0384615384615385,0,0.0769230769230769,0.0384615384615385,0.0384615384615385,0.346153846153846,0,0,0.0384615384615385,0.461538461538462,0,1,1,0.192307692307692}
   9055 |          7 |     0.380952 |      0.142857 |    7 | {664,664}               | {4.06503982765e-05,0.000865553996073}                                                                         | {0,0,0,1,0.125,0,0.625,0,0.25,0,1,0,0.125,0.25,0,0,0.125,0,0,0,0,1,0,1,0.625,0,0.125,0,0,0,0,0.25,0,0,0,1,0,1,0.875,0.125}
   9600 |          5 |         0.25 |         0.125 |    8 | {241,241}               | {0.0595988151936,0.0112581415026}                                                                             | {0,0,0.142857142857143,0.571428571428571,0.428571428571429,0,0,0.142857142857143,0.142857142857143,0.428571428571429,0.142857142857143,0,0,0.285714285714286,0,0.142857142857143,0,0,0.142857142857143,1,0.142857142857143,0.142857142857143,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0}
  10889 |          6 |     0.222222 |           0.1 |   10 | {341,1368,1368}         | {3.78417059115e-08,1.19979834065e-07,2.08335240619e-09}                                                       | {0,0.1,0,1,0.1,0,0,0.1,0.2,1,0,0,0,0,0.1,1,0,0,0.1,0.3,0,0.2,0,0,0,0,1,0,0,0,0,0.1,0,1,0.1,0,1,0,0,0}
  11743 |          4 |          0.4 |           0.2 |    5 | {664,664,1207}          | {0.000140334231311,0.00359458514438,0.000345947048841}                                                        | {0,0,0,0.75,0.25,0,1,0,0,0.25,1,0,0,0,0,0,0.25,0,0,0,0,0.5,0.25,0.5,0,0,0.25,0,1,0,0,0.5,0,0,0,0.5,0,0.75,1,0.25}
  13117 |          4 |          0.4 |           0.2 |    5 | {219,219}               | {0.000513887231366,0.0132689114866}                                                                           | {0,1,0.25,0.25,0.75,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,1,0,0,0.25,0,1,0,0,0,0,0,0,0.5,0,1,0,0,0.25,0}
  14830 |          4 |          0.4 |           0.2 |    5 | {1999,1999}             | {0.00541630472831,0.0497881332675}                                                                            | {0,0,0.25,1,0.5,0,0,0,0,0.25,0,0,0,0.5,1,0,0.25,0,0.25,0.25,0,0.5,0,0,1,0,0.25,0,0,0,0,0.25,0.25,0.25,1,0,0.25,0,0.5,0}
  16028 |          5 |          0.6 |           0.2 |    5 | {664,664}               | {0.000140334231311,0.00359458514438}                                                                          | {0,0,0.333333333333333,0.166666666666667,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.166666666666667,1,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,1,0,0,0,0,0}
