 mcl_id | recurrence | connectivity | unknown_ratio | size |    go_no_list     |                               p_value_list                                |                                                                                                                                                                                                                                                                                                                      recurrence_array                                                                                                                                                                                                                                                                                                                       
--------+------------+--------------+---------------+------+-------------------+---------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     27 |          5 |          0.6 |           0.2 |    5 | {89,89}           | {0.00111352104471,1.21210644195e-05}                                      | {0,0,0,0.666666666666667,1,0.333333333333333,1,0,0,0.166666666666667,0,1,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,1,0,0.166666666666667,0,1,0.5,0,0.166666666666667,0}
   3743 |          7 |     0.388889 |      0.222222 |    9 | {274,274}         | {2.20199178871e-12,3.81621189977e-10}                                     | {0,0,1,1,0.928571428571429,0.214285714285714,0,0,1,0.5,0,0,0,0.428571428571429,0,1,0.0714285714285714,0,1,0,0,0.642857142857143,0,0.0714285714285714,0,0,0.142857142857143,0,0,0,0,0.428571428571429,0,0.785714285714286,0.0714285714285714,0.428571428571429,0,0,1,0}
   6551 |          5 |     0.533333 |      0.166667 |    6 | {664,664}         | {1.23712967065e-05,0.000394015136755}                                     | {0,0,0,0.5,0.25,0,1,0,0,0,1,0,0.125,0.375,0,0,0,0,0,0,0,0.625,0,0.375,1,0,0,0,0,0,0,0.25,0.125,0,0,1,0,0.625,0.625,1}
   7170 |          7 |     0.533333 |      0.166667 |    6 | {664,664}         | {1.23712967065e-05,0.000394015136755}                                     | {0.125,0,0,0.625,1,0,0.625,0,0.5,0,1,0,0.125,0.25,0,0,0,0,0,0,0.125,1,0.125,0.25,1,0,0,0,0,0,0,0.25,0,0,0,0.375,0,1,1,1}
   7312 |          6 |          0.4 |           0.2 |    5 | {664,664}         | {0.000140334231311,0.00359458514438}                                      | {0.25,0,0,0.75,1,0.5,1,0,0.25,0,0.5,0,1,0,0,0,0,0,0,0,0.25,0.75,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.25,1,0.75,1}
   7802 |          5 |          0.6 |           0.2 |    5 | {1207,1207,673}   | {0.000342623421454,5.82917953835e-06,7.16122308563e-06}                   | {0,0,0,0.333333333333333,0.166666666666667,0,0.5,0,0.166666666666667,0,1,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,1,1,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0.5,0,1,0.5,1}
   8312 |          7 |          0.4 |           0.2 |    5 | {664}             | {0.000139526408366}                                                       | {0,0,0,1,0.75,0,1,0,1,0,1,0,0.25,0.25,0,0,0,0,0,0,0.25,0.75,0,0.75,1,0,0,0,0,0,0,0.5,0,0,0,0.5,0,1,1,0.5}
   9147 |          7 |     0.466667 |      0.166667 |    6 | {664}             | {1.22820441714e-05}                                                       | {0.142857142857143,0,0,1,0.428571428571429,0.142857142857143,0.571428571428571,0,0.142857142857143,0,0.571428571428571,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0.142857142857143,1,0,0.428571428571429,1,0,0,0,0.142857142857143,0,0,0.571428571428571,0.142857142857143,0,0,1,0,1,1,1}
   9337 |          7 |          0.5 |           0.2 |    5 | {1209,664}        | {1.90077808018e-05,0.000139526408366}                                     | {1,0,0,1,0.4,0.2,0.2,0,1,0,0.4,0.2,0.2,0.6,0,0,0.2,0.2,0,0,0,1,0,0,0.4,0,0,0.2,0,0,0,0.2,0,0,0,0.8,0.2,1,1,0.4}
  11571 |          7 |     0.428571 |      0.142857 |    7 | {1553}            | {7.50551008748e-18}                                                       | {0,0,0.222222222222222,1,1,1,1,0,0.333333333333333,0,0.444444444444444,0.111111111111111,0.333333333333333,1,0,0.111111111111111,0,0,0,0.111111111111111,0.333333333333333,1,0,0.111111111111111,0.777777777777778,0,0.111111111111111,0,0,0,0,0.111111111111111,0,0.111111111111111,0,1,0,0,0.777777777777778,0.111111111111111}
  11676 |          8 |          0.4 |           0.2 |    5 | {1553}            | {8.15912646464e-12}                                                       | {0,0,0,1,1,0.5,1,0,1,0,1,0.25,0.25,1,0,0,0,0,0,0,0.25,1,0,0,0.75,0,0.25,0,0,0,0.25,0,0,0,0,0.75,0,0,1,0}
  16659 |          9 |          0.4 |      0.333333 |    6 | {274,274,275,280} | {4.25792710883e-07,2.29136702561e-09,3.31491569344e-08,8.50239088693e-08} | {0,0,0.666666666666667,1,1,0.166666666666667,0,0,1,0.166666666666667,0,0,0,0.666666666666667,0,1,0,0,0.833333333333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.333333333333333,0,0,1,0}
  19876 |          9 |          0.6 |           0.2 |    5 | {893,893}         | {1.48203594741e-07,2.20516456479e-05}                                     | {1,0,0,1,1,1,0.833333333333333,0,0,0,0,0.5,0.666666666666667,0.166666666666667,0,0.333333333333333,0.833333333333333,0,0.5,0,0.333333333333333,1,0,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0,0,0,0,0,0,0.166666666666667,0,1,0.833333333333333,0,0,0}
  21287 |          6 |     0.200204 |      0.044944 |   89 | {724,724}         | {4.04636660389e-52,1.23943755964e-50}                                     | {0.0191326530612245,0.00510204081632653,0.0522959183673469,0.964285714285714,0.358418367346939,0.130102040816327,0.0331632653061225,0.014030612244898,0.0522959183673469,0.0943877551020408,0.0076530612244898,0.0178571428571429,0.0178571428571429,0.301020408163265,0.0586734693877551,1,0.0395408163265306,0.0267857142857143,1,0.165816326530612,0.00637755102040816,1,0.200255102040816,0.0280612244897959,0.0165816326530612,0.00510204081632653,0.0229591836734694,0,0,0.0038265306122449,0,0.0446428571428571,0.0599489795918367,0.843112244897959,0.0038265306122449,0.164540816326531,0.014030612244898,0.0178571428571429,1,0.0038265306122449}
  22000 |          7 |     0.288889 |           0.1 |   10 | {1553,1553}       | {3.55426486959e-13,4.17310356847e-16}                                     | {0,0,0.307692307692308,0.769230769230769,1,1,0.923076923076923,0,0.230769230769231,0,0.230769230769231,0.153846153846154,0.307692307692308,0.538461538461538,0,0.0769230769230769,0,0,0,0.0769230769230769,0.384615384615385,1,0,0.307692307692308,0.923076923076923,0,0.0769230769230769,0,0,0,0,0.307692307692308,0,0.0769230769230769,0,1,0.0769230769230769,0.0769230769230769,1,0.153846153846154}
  23816 |          7 |     0.198113 |      0.075472 |   53 | {724,724}         | {2.56777977489e-33,7.05375163185e-35}                                     | {0.0183150183150183,0.00732600732600733,0.120879120879121,1,1,0.32967032967033,0.032967032967033,0.0256410256410256,0.0915750915750916,0.124542124542125,0.00366300366300366,0.0183150183150183,0.021978021978022,0.311355311355311,0.131868131868132,1,0.0512820512820513,0.0476190476190476,0.84981684981685,0.282051282051282,0.010989010989011,1,0.183150183150183,0.0256410256410256,0.010989010989011,0.00366300366300366,0.021978021978022,0,0,0.0146520146520147,0,0.0805860805860806,0.0549450549450549,1,0.010989010989011,0.175824175824176,0.0146520146520147,0.0293040293040293,1,0.00732600732600733}
  24271 |          7 |     0.333333 |      0.111111 |   18 | {732,732}         | {4.60969489874e-16,3.62661311384e-18}                                     | {0.0196078431372549,0,0.156862745098039,1,1,0.294117647058824,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.156862745098039,0.0196078431372549,0,0.0588235294117647,0.0980392156862745,0.215686274509804,0.784313725490196,0.0588235294117647,0.0980392156862745,1,0.294117647058824,0.0588235294117647,1,1,0,0.0196078431372549,0.0196078431372549,0,0,0,0.0392156862745098,0,0.0392156862745098,0.0980392156862745,0.980392156862745,0,0.0784313725490196,0.0196078431372549,0,1,0}
  25396 |          7 |          0.4 |           0.2 |    5 | {664,664}         | {0.000140334231311,0.00359458514438}                                      | {0.25,0,0,0.75,0.5,0,1,0,1,0,0.75,0,0.25,0.25,0,0,0,0,0,0,0.25,0.5,0,1,1,0,0,0,0,0,0,0.25,0,0,0,1,0,1,1,0}
  26125 |          5 |     0.362637 |      0.071429 |   14 | {1553,1553}       | {1.06316415707e-24,1.131738296e-21}                                       | {0,0.0303030303030303,0.0606060606060606,1,0.545454545454545,0.272727272727273,1,0.0303030303030303,0.575757575757576,0.0303030303030303,0.212121212121212,0.0303030303030303,0.151515151515152,1,0,0.0303030303030303,0,0,0,0.0303030303030303,0.212121212121212,0.96969696969697,0,0.242424242424242,0.545454545454545,0,0.0303030303030303,0,0.0303030303030303,0,0.0303030303030303,0.0606060606060606,0.0303030303030303,0.0303030303030303,0,0.363636363636364,0,0.0606060606060606,1,0.0606060606060606}
  26405 |          7 |     0.733333 |      0.166667 |    6 | {1551,1553}       | {2.15325760368e-12,1.37851926978e-14}                                     | {0,0,0.0909090909090909,1,1,0.545454545454545,0.909090909090909,0.0909090909090909,1,0,0.454545454545455,0.0909090909090909,0.272727272727273,1,0,0.0909090909090909,0,0,0,0,0.272727272727273,1,0,0.0909090909090909,0.636363636363636,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0.545454545454545,0,0,0.818181818181818,0.0909090909090909}
(20 rows)

