 mcl_id | recurrence | connectivity | unknown_ratio | size |     go_no_list      |                               p_value_list                                |                                                                                                                                                                                                                                             recurrence_array                                                                                                                                                                                                                                             
--------+------------+--------------+---------------+------+---------------------+---------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     16 |          5 |          0.6 |           0.2 |    5 | {89,89,591}         | {6.41407163391e-08,1.17593567084e-05,2.09288788415e-06}                   | {0,0,0,1,1,0.5,0.666666666666667,0,0,0,0,1,0.166666666666667,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0.333333333333333,0,0,0,0,1,0,0.166666666666667,0,1,0.666666666666667,0,0.166666666666667,0}
   4888 |          7 |          0.5 |           0.4 |    5 | {815,815}           | {0.0041518984774,0.0513865380494}                                         | {0,0,0,1,1,0.2,0.4,0.4,0.4,0.2,0.2,0,0,0.2,0.8,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,1,0,0,0,0.2,0.6,1,0,1,0,1,0}
   7952 |          9 |     0.333333 |      0.142857 |    7 | {1209,664,1207,664} | {3.40137882056e-06,4.03609922663e-05,3.86931017773e-05,1.05965607843e-06} | {0,0,0.142857142857143,1,0.857142857142857,0.285714285714286,1,0,0.142857142857143,0,0.428571428571429,0,0.285714285714286,0.142857142857143,0,0,0.142857142857143,0,0,0,0.428571428571429,0.857142857142857,0,1,1,0,0.142857142857143,0,0,0,0,1,0,0,0,0.857142857142857,0.142857142857143,0.714285714285714,1,0.285714285714286}
   9512 |          8 |     0.428571 |      0.285714 |    7 | {701,724,701}       | {2.56324601289e-05,0.000423576242508,0.00166604506363}                    | {0.111111111111111,0,0,1,1,1,1,0,0,0.222222222222222,0,0,0,0.555555555555556,0,1,0,0.111111111111111,1,0.111111111111111,0,0.777777777777778,0,0.111111111111111,0,0,0,0,0,0,0,0.222222222222222,0,1,0.111111111111111,0,0.111111111111111,0,1,0}
  11208 |          5 |          0.7 |           0.6 |    5 | {308,308}           | {0.000229932816757,1.14797544185e-06}                                     | {0,0,0,0.857142857142857,0,0,0,0,0.285714285714286,0,0,0,0,1,0,0.285714285714286,0,0,1,0.142857142857143,0,0.428571428571429,0.571428571428571,0,0,0,1,0,0.428571428571429,0,0,0,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,1,0}
  14163 |          5 |          0.5 |      0.222222 |    9 | {1210,1210}         | {7.27688226628e-08,9.50905293419e-06}                                     | {0.0555555555555556,0,0.111111111111111,0.166666666666667,0.277777777777778,0.166666666666667,1,0.111111111111111,1,0.0555555555555556,0.5,0,0,0.555555555555556,0.444444444444444,0,0.611111111111111,0.111111111111111,0,0,0.0555555555555556,0.722222222222222,0.111111111111111,0.0555555555555556,0.277777777777778,0,0.222222222222222,0,0.0555555555555556,0,0,0.111111111111111,1,0.0555555555555556,0.333333333333333,1,0.666666666666667,0,1,0}
  14240 |          4 |          0.5 |      0.333333 |    9 | {1210,1210}         | {9.50905293419e-06,7.27688226628e-08}                                     | {0.0555555555555556,0,0.166666666666667,0.111111111111111,0.444444444444444,0.277777777777778,1,0.0555555555555556,0.777777777777778,0.0555555555555556,0.444444444444444,0,0,0.388888888888889,0.444444444444444,0.0555555555555556,0.611111111111111,0.0555555555555556,0,0,0.166666666666667,1,0.111111111111111,0.0555555555555556,0.388888888888889,0,0.166666666666667,0,0.111111111111111,0,0,0.222222222222222,0.777777777777778,0,0.444444444444444,0.666666666666667,1,0,1,0.0555555555555556}
  14347 |          7 |     0.357143 |          0.25 |    8 | {664,1210,664}      | {3.97212779593e-06,6.79254690209e-06,0.000101065873045}                   | {0.1,0,0.3,0.3,0.5,0.3,0.8,0.1,0.9,0.1,1,0,0,0.4,0.5,0,1,0.1,0,0,0.1,0.7,0.1,0.1,0.4,0,0.1,0,0.1,0,0,0.1,0.9,0,0.7,0.7,1,0,1,0}
  14391 |          6 |     0.466667 |      0.333333 |    6 | {1209,1209,664}     | {0.0264192719535,0.00160413468444,0.00682334411698}                       | {0,0,0.285714285714286,1,1,0.571428571428571,0.714285714285714,0.142857142857143,1,0.142857142857143,0.714285714285714,0,0,0.285714285714286,0.285714285714286,0,0.571428571428571,0.142857142857143,0,0,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143,0.428571428571429,0,0,0,0.142857142857143,0,0,0.285714285714286,1,0.142857142857143,0.857142857142857,0.428571428571429,0.571428571428571,0,1,0}
