TABLE S2: Oct4, Sox2, Nanog binding to Known Genes					
GENE	OCT4	SOX2	NANOG	E2F4	Expressed
	# = distance from nearest transcription start site				1 = expressed
	- = not bound				
13CDNA73	-	-	2003	-	0
182-FIP	-	360	-	-	1
76P	-	-	-	0	1
7h3	-	-	-	203	1
AAMP	-	-	-	0	1
AASDH	0	0	0	-	1
AATF	-	-	-	0	1
ABC1	-	-	-	0	1
ABCA5	-	4936	4936	-	0
ABCB10	-	3818	3818	-	0
ABCB6	-	-	-	0	1
ABCB7	-	0	0	-	1
ABCF2	-	31	31	31	1
ABCG2	-	-	41	-	0
ABHD11	-	4127	2246	-	1
ABHD2	-	-	0	-	1
ABHD8	-	5888	5888	1777	0
ABLIM1	-	0	-	-	1
ABTB2	820	820	-	-	1
ACAD8	-	-	-	0	1
ACADM	-	-	799	-	1
ACAT2	-	-	35	-	1
ACCN1	-	-	675	-	0
ACCN2	-	-	5968	-	0
ACCN4	6895	6895	6895	-	0
ACD	5590	-	-	5590	1
ACIN1	-	30	-	-	1
ACO2	-	89	89	-	1
ACOX1	-	140	-	-	1
ACP2	-	-	-	3214	1
ACSL4	-	-	871	-	1
ACTN1	-	-	-	759	1
ACTR1A	-	0	0	-	1
ACTR1B	-	-	812	0	1
ACYP1	-	-	-	0	1
ACYP2	-	-	-	0	0
ADAM28	-	0	0	-	0
ADAMTS16	528	528	291	-	0
ADAMTS19	-	538	-	-	0
ADAMTS4	-	-	381	-	0
ADAMTS5	-	-	2144	-	0
ADAMTSL1	63	0	0	-	0
ADAR	-	707	707	-	1
ADAT1	-	-	-	0	0
ADD3	55	2683	2033	-	1
ADFP	-	1923	1489	-	1
ADRA1A	972	972	972	-	0
ADRA2A	369	-	-	-	0
ADRBK2	-	42	559	-	1
AEGP	-	-	-	2779	0
AF15Q14	-	-	-	0	1
AGPAT4	-	1115	-	-	0
AGPAT5	-	-	-	0	1
AGTR2	-	-	-	25	0
AHI1	-	-	-	0	1
AHSA1	-	-	62	-	1
AIP1	-	883	-	-	1
AK3	-	983	708	-	1
